pickup_hour,pickup_day,total_revenue,trip_distance,fare_amount,tip_amount,trip_count,day_order
0,Monday,36.9681171175395,6.364750339912796,28.09403816400206,4.320748276993765,21329,1
1,Monday,36.25875814524507,6.379318160355086,28.003572575314006,4.169428652375107,10589,1
2,Monday,36.38501155115511,6.414392739273928,28.029265676567658,3.98276897689769,6060,1
3,Monday,36.3239379243453,6.379439864209505,28.23099175557711,3.6217143549951505,4124,1
4,Monday,38.3680234375,6.70472265625,30.02598046875,3.7643847656250005,5120,1
5,Monday,35.0661880505147,6.021032579857795,27.047552796349358,3.6051013477661047,9423,1
6,Monday,28.550377450980392,4.844147950089126,22.430000891265596,2.9708083778966135,22440,1
7,Monday,26.16891733613635,3.9305916360087094,20.071280876942716,3.0793610631428785,39957,1
8,Monday,24.987372893088292,3.3406164122797906,19.116501747828192,3.0338029972657736,57786,1
9,Monday,25.466026735166377,3.2591533300660775,19.274108968617444,3.2163246751052,59173,1
10,Monday,26.058460462816118,3.365773434968708,19.647483160246246,3.2945294248051704,58641,1
11,Monday,26.36011146883241,3.4042392130850496,19.97291889793079,3.313094594813221,61811,1
12,Monday,26.442994566522575,3.4729821085494716,20.076087145773293,3.320801062680115,66624,1
13,Monday,26.828784633860405,3.583313556171904,20.307865353272526,3.4120573013467532,69946,1
14,Monday,27.441810958758502,3.6938824670493196,20.77438097895408,3.47943678252551,75264,1
15,Monday,27.330322002876194,3.6710231402797753,20.655979866649233,3.4980628840371293,76490,1
16,Monday,30.211317764255956,3.7608124482527496,20.88546253827654,3.83698374314965,76091,1
17,Monday,28.25942596390733,3.4069788468306657,19.311730603526744,3.6359675481498566,82399,1
18,Monday,26.592237342524367,3.196669004040884,17.891582006180176,3.5103426432136913,84140,1
19,Monday,27.16445511309243,3.4482578193093003,18.258190521096775,3.6396593653107003,69987,1
20,Monday,26.015176358436605,3.6213350512392757,18.77636543732126,3.491239424451859,67136,1
21,Monday,25.793452006294256,3.6465268111117837,18.815461629244083,3.379613720268716,66092,1
22,Monday,27.641419513152726,4.147673341185709,20.422577934825284,3.5381770710639966,50940,1
23,Monday,32.48084184490033,5.345000145496871,24.286169649352537,3.9744612250836613,34365,1
0,Tuesday,33.81013184263263,5.747841999789052,25.537449636114335,3.9934410927117394,18962,2
1,Tuesday,34.7094727000748,6.08432311144353,26.628728496634256,4.00150959860384,8022,2
2,Tuesday,30.121795209265596,5.087925769939457,23.22713608844433,3.163327191366149,3799,2
3,Tuesday,32.89219991635299,5.571564199079883,25.53020911752405,3.181539104976997,2391,2
4,Tuesday,38.0326967285588,6.64314765694076,29.488765104627173,3.813548482169172,3393,2
5,Tuesday,33.01966940183137,5.717717921274825,25.394865025567846,3.357972410512546,8409,2
6,Tuesday,26.789381391064026,4.396130815292492,20.81174573929065,2.9424735145094427,21710,2
7,Tuesday,24.30782943768892,3.4733597914118923,18.51593137820439,2.9677140681603174,43339,2
8,Tuesday,24.10757493771113,3.003239479677779,18.523799391632657,2.9374844468901427,65421,2
9,Tuesday,24.89678613991181,2.946565516624955,18.95525652484805,3.1502627815516626,67128,2
10,Tuesday,25.553044778362132,3.0163618332081144,19.349208414725773,3.2865054845980466,66550,2
11,Tuesday,25.805203429821027,3.046190942049836,19.65801116418254,3.2993128848477875,69508,2
12,Tuesday,25.81464742085574,3.072985290765497,19.630563429383606,3.2985714477265717,74579,2
13,Tuesday,26.29274951780892,3.2216683811238265,19.958571428571428,3.406982641121255,77770,2
14,Tuesday,26.593735331287235,3.2853220196184627,20.154224468917374,3.4437814286573993,83085,2
15,Tuesday,26.71705108266539,3.324443234836703,20.27889962914224,3.4386424213422657,83590,2
16,Tuesday,29.472188347362714,3.357093206951027,20.413848176180707,3.778135153615807,84822,2
17,Tuesday,27.66769685202874,2.9819367498650275,19.060169442252587,3.564216121931974,96316,2
18,Tuesday,26.027692344233948,2.7889081650103558,17.754006023524045,3.3813376213730595,105254,2
19,Tuesday,25.951541345169787,3.032065016156296,17.664289410438922,3.3717009532789803,86963,2
20,Tuesday,24.5632351671543,3.212555997889587,17.83494915823301,3.2346080147728906,83396,2
21,Tuesday,24.63203482537687,3.257580088441901,18.165470274919773,3.1725025087945657,90681,2
22,Tuesday,25.295247936043474,3.4668009980144214,19.039367750026127,3.029682960601944,76552,2
23,Tuesday,26.577193051553657,3.897229742335358,19.952188180178688,3.1270802844053813,48241,2
0,Wednesday,28.734720525099075,4.505361624834875,21.551130696829592,3.4569360964332896,24224,3
1,Wednesday,29.67298370761779,4.8443249669749004,22.385982386613826,3.569859973579921,11355,3
2,Wednesday,28.814227405247816,4.709741039272852,21.720425312982336,3.279626136168753,5831,3
3,Wednesday,29.137271964185786,4.768405148293229,22.111650811415778,3.1150447677672077,3574,3
4,Wednesday,36.38734055961684,6.279019410133602,28.18126291908243,3.6530728510209225,3967,3
5,Wednesday,34.654524788391775,5.882313180169287,26.41145707376058,3.725042321644498,8270,3
6,Wednesday,26.890779071372695,4.412193640421518,20.827569831116836,2.9785638028622703,21731,3
7,Wednesday,23.848537249283666,3.4159288443170968,18.194022922636105,2.897439828080229,41880,3
8,Wednesday,23.998100871145652,3.0311548947104536,18.38252350213086,2.9462991977939335,63824,3
9,Wednesday,24.38971730857056,2.89089298218907,18.53841163038514,3.107766326685949,65690,3
10,Wednesday,24.985334659913168,2.9405669621321757,18.85024104558611,3.2628919440424506,66336,3
11,Wednesday,25.400804262747418,2.982132781484923,19.251909648900526,3.2980911957654078,71034,3
12,Wednesday,25.73157929951877,3.0565852183535345,19.55802503924445,3.312860083893049,77718,3
13,Wednesday,26.223140831548626,3.147359746941388,19.891324865224135,3.4042980577505353,81246,3
14,Wednesday,26.813653452380954,3.3194490476190475,20.37014476190476,3.459699880952381,84000,3
15,Wednesday,26.95272469053547,3.344526773503524,20.462955079426308,3.457955605428341,85551,3
16,Wednesday,29.829106710440534,3.379458996926516,20.709279477507685,3.8433804833752445,85896,3
17,Wednesday,27.909013529929208,3.000398672140075,19.2489205378461,3.583070414275541,95492,3
18,Wednesday,26.30264558031046,2.8466850317702885,17.863314063379715,3.468639507761602,99464,3
19,Wednesday,26.24004300008269,3.040627399558186,17.71305737675869,3.510829996101641,84651,3
20,Wednesday,24.57350758219095,3.159162804804076,17.7524457115128,3.312250272958874,82430,3
21,Wednesday,24.617417127071825,3.2159230217079218,18.14090692565363,3.1942786139992174,91948,3
22,Wednesday,25.387532712980462,3.3946048560869615,19.173254083855976,3.0148823295734974,83071,3
23,Wednesday,27.130817677239694,3.9339485780770183,20.442919948883254,3.2184674512197446,52429,3
0,Thursday,29.640356484326983,4.6848323430990915,22.086654032643583,3.672618998839036,29286,4
1,Thursday,30.823792607802872,5.0445550992470904,23.106420944558522,3.7991060917180017,14610,4
2,Thursday,27.432664252457318,4.323058717020176,20.502232281427833,3.259066218313502,7732,4
3,Thursday,27.515372525005102,4.28903041437028,20.488154725454173,3.1807103490508264,4899,4
4,Thursday,35.27072310756972,6.018027888446215,26.967,3.6848625498007963,5020,4
5,Thursday,34.077246534977625,5.824653497762742,25.985344319545998,3.6288933755320314,9163,4
6,Thursday,26.993647021546263,4.4118377693282635,20.95340711569799,2.9397641680246243,22092,4
7,Thursday,24.382840010574636,3.482527097502944,18.58415342834483,2.9614150784686006,41609,4
8,Thursday,24.196352975810807,3.0708292036700846,18.597713229641986,2.912878170845395,61143,4
9,Thursday,24.938578914240754,2.980897088906373,18.99625869394178,3.1556486231313925,63550,4
10,Thursday,25.817621259269583,3.0683862028393167,19.52616429024817,3.3332984998374435,64593,4
11,Thursday,26.276309321423426,3.121531335542429,19.964833885607263,3.3763866877971473,69410,4
12,Thursday,26.38525291300986,3.1881215664464673,20.08455365499654,3.3785221307361537,73721,4
13,Thursday,26.95114719769,3.323947946880325,20.47821612059883,3.473414669042571,76883,4
14,Thursday,27.806037729034745,3.4799017648616766,21.119405292177305,3.5985049237955358,83066,4
15,Thursday,27.982250544383245,3.4684949404380685,21.321697427716384,3.5695651920770404,85877,4
16,Thursday,30.531371982455937,3.4426541724705584,21.463770591824286,3.864110076323575,86867,4
17,Thursday,29.117990700353882,3.1644933544564235,20.465776067813348,3.6420551806435686,97208,4
18,Thursday,27.221314964690944,2.958984765532016,18.93430026580973,3.448055720860113,100824,4
19,Thursday,27.089427526248276,3.1334546771818137,18.6317023374032,3.525845883414889,84196,4
20,Thursday,25.98267378933627,3.338060783493657,18.929836254641778,3.426921663308113,78903,4
21,Thursday,25.25390502982409,3.2563828222577595,18.633371814775472,3.2585992599423363,85669,4
22,Thursday,25.98381388728783,3.4877449331278743,19.499284344747274,3.1859675579029085,85013,4
23,Thursday,27.184912323540633,3.8794992750858452,20.602754063334604,3.179453033193438,65525,4
0,Friday,26.61250135075397,3.958846701704406,20.062780834029176,3.1613254580283905,40718,5
1,Friday,24.371684519374067,3.616727365871833,18.117709109538005,2.999544988822653,21472,5
2,Friday,22.490718057022175,3.2734928113069612,16.69446105109252,2.68409227520104,12311,5
3,Friday,24.74201001155179,3.7261879091259145,18.455347195481966,2.901044795276601,7791,5
4,Friday,32.0360203928625,5.350661268556005,24.68113810166442,3.2555360623781677,6669,5
5,Friday,35.96338158594997,6.160748270356573,27.490761043108037,3.8925545502927092,9395,5
6,Friday,28.545814814814815,4.746955455455455,22.212791791791794,3.0672412412412413,19980,5
7,Friday,25.896859619771863,3.927647452471483,19.842489733840303,3.0396103422053233,32875,5
8,Friday,24.4066668111388,3.351745367862174,18.565874525950807,2.991980279553581,46145,5
9,Friday,24.30245906703738,3.1843740345999385,18.41300876583256,3.0284374034599937,51792,5
10,Friday,25.090605909842036,3.2531286980934273,18.977561790365854,3.1270708434762526,56279,5
11,Friday,25.218899490387212,3.248742161329756,19.16179952055121,3.1316521932400896,62989,5
12,Friday,25.449987484901843,3.317404572376559,19.351573264257755,3.132709082177627,68717,5
13,Friday,25.898694806457886,3.379122183010532,19.672656375913526,3.226674771445244,71974,5
14,Friday,26.62341554756951,3.4496202004917724,20.340174011726877,3.287073828888469,79305,5
15,Friday,26.83946709233792,3.4524209233791745,20.545191429273082,3.2822091110019644,81440,5
16,Friday,29.557881720835056,3.5093238679872956,20.69199927189646,3.651582746456772,79659,5
17,Friday,28.372227259206376,3.336967457909453,19.72143208995181,3.500891784163246,84045,5
18,Friday,26.171126414579355,2.989039450754792,18.076274853555606,3.2188430368053074,95258,5
19,Friday,26.17164418331375,3.016723149236193,18.226838895417156,3.155423619271445,85100,5
20,Friday,25.692956434108527,3.366326046511628,18.814341860465117,3.2530475968992247,64500,5
21,Friday,26.06977820140402,3.431464990317114,19.117419813604453,3.42205852093924,66096,5
22,Friday,26.27558614615297,3.4865005966587113,19.398363166268894,3.4028810092055917,70392,5
23,Friday,26.202770941963692,3.627633495324894,19.694162247595976,3.128856260801489,67699,5
0,Saturday,24.838278256245108,3.4530437415980977,18.74158657468276,2.8556623284534592,67693,6
1,Saturday,22.42468056054617,3.087413762127201,16.861507006827164,2.553438016528925,55660,6
2,Saturday,21.422639376027078,2.940951411542518,16.04031370336759,2.421635230923941,40771,6
3,Saturday,21.818535193653027,3.117876265290968,16.486126939461446,2.361071637941142,25587,6
4,Saturday,25.51005251798561,3.9755575539568344,19.72614388489209,2.4993237410071942,13900,6
5,Saturday,35.714735212139985,6.045603902136885,27.34464385258594,3.8520037163208425,6458,6
6,Saturday,31.833817799692827,5.399700105084472,24.757303370786516,3.4958362298924905,12371,6
7,Saturday,28.54492960820692,4.674915966386554,22.067020626432388,3.2203061224489797,18326,6
8,Saturday,26.20165135608049,4.047769393409157,19.979601195683873,3.1169593904928554,27432,6
9,Saturday,23.798728895320792,3.428906657018813,18.082230342498793,2.8666787264833573,41460,6
10,Saturday,23.310688259109313,3.2131953216374267,17.6739208277103,2.8451388214125055,55575,6
11,Saturday,23.90281182386104,3.2186337040987354,18.31732073746762,2.877877342678653,65630,6
12,Saturday,24.132875570387522,3.191457195396036,18.599946468705305,2.8918272832527414,73415,6
13,Saturday,25.24085937992511,3.3385315143797363,19.445287027347344,3.037607958342264,79313,6
14,Saturday,26.030266896639837,3.5101604701673694,20.049027469017503,3.152713811166475,78270,6
15,Saturday,26.11329036027748,3.5380458241129817,20.138045326835577,3.176758870185733,80438,6
16,Saturday,25.830591270118553,3.45364218666294,19.93553501968183,3.182866559522978,85866,6
17,Saturday,25.17548914821682,3.295650016359472,19.571214963463845,2.9883413676518704,91690,6
18,Saturday,24.54735429380994,3.163800021795989,19.103055034873584,2.914114537925022,91760,6
19,Saturday,23.959879136924076,3.0274843561694635,18.640569203671085,2.867104037267081,86296,6
20,Saturday,25.47038182988103,3.3041528962392013,19.124757608531958,3.0470283257807043,73043,6
21,Saturday,25.555933960024024,3.3537498079421173,19.04420446133002,3.1874072884220523,71593,6
22,Saturday,26.185333166770768,3.4480939412866958,19.77304184884447,3.1574602123672704,80050,6
23,Saturday,26.320231194927327,3.5336844958210953,20.216092629243512,2.908777843609364,79327,6
0,Sunday,24.64493832366895,3.3341125084720233,19.01518081180812,2.6060231945176597,66395,7
1,Sunday,22.598700557763113,3.100635777040574,17.403361343006086,2.344621231453465,54862,7
2,Sunday,21.712163286531464,3.024031894609118,16.571525889607013,2.2866614664586584,40383,7
3,Sunday,22.13947317146283,3.201900104916067,16.99267648381295,2.229086855515588,26688,7
4,Sunday,26.280355602120054,4.148051892025144,20.720964501417477,2.344497719709109,16226,7
5,Sunday,37.87775976724854,6.482245774452757,29.41528539761707,3.8675131615405927,7218,7
6,Sunday,35.498826982120285,6.23867708145205,28.093148817048945,3.6617726205526457,11074,7
7,Sunday,31.68449111366833,5.367915867536121,24.71871627669096,3.4128091036951798,15642,7
8,Sunday,28.685021381365818,4.6473387758628135,22.043307848473066,3.2588004837803983,23151,7
9,Sunday,25.195216182743913,3.832396862529242,19.230934360809137,2.8975018577129488,36335,7
10,Sunday,24.637306282938077,3.5973554841897237,18.741265027997365,2.8879308712121214,48576,7
11,Sunday,24.98739556454425,3.5405111932491806,19.05950990306158,2.992526849850059,57356,7
12,Sunday,26.280262023523616,3.6951571833240964,20.077688897099577,3.184602808054683,64956,7
13,Sunday,27.34519672107321,3.838740025870965,20.925214162173162,3.340089530979754,68803,7
14,Sunday,28.587967402906642,3.999412513342639,21.928943536688838,3.47732764047404,73074,7
15,Sunday,28.94727257088793,4.075587889561054,22.221728403910664,3.5663490925771955,69758,7
16,Sunday,28.931851493885784,4.013874017733327,22.170285610230984,3.609079155635864,71391,7
17,Sunday,27.496737922655857,3.7627224702076254,21.188111852792225,3.3614387703564166,73257,7
18,Sunday,27.095908399600226,3.758220426135952,20.682388360202204,3.4432407769521576,69039,7
19,Sunday,27.168071376547708,3.920157319737801,20.636147608642872,3.4995630007283323,61785,7
20,Sunday,28.667754469648173,4.131801437947183,21.081078808558047,3.6739815121076544,57443,7
21,Sunday,29.77181324921136,4.418081838666065,21.877735015772874,3.8285070752591257,55475,7
22,Sunday,31.486153516295026,4.9416581655682945,23.598226053985734,3.8197828834521985,44308,7
23,Sunday,35.52624082547677,5.9136486195989315,26.80307250560452,4.18011209040936,32563,7
